,city,lat,lng,max_temp,humidity,cloudiness,windspeed
355,Hofn,64.2539,-15.2082,8.85,92,100,11.18
356,Dalbandin,28.8947,64.4101,16.65,15,0,3.1
357,Mount Isa,-20.7333,139.5,26.87,18,1,5.66
358,Camargo,27.6667,-105.1667,17.15,46,0,3.89
359,Peterborough,52.5736,-0.2478,11.11,93,90,4.12
360,Loreto,22.2667,-101.9667,11.51,75,8,3.9
361,Aldama,22.9167,-98.0667,20.35,91,87,2.06
362,Pangkalanbuun,-2.6833,111.6167,29.87,67,100,1.1
363,Portoferraio,42.8115,10.3146,13.31,72,100,5.5
364,Marrakesh,31.6315,-8.0083,11.04,62,18,0.51
365,Lubango,-14.9172,13.4925,16.02,80,71,0.94
366,Plast,54.3691,60.8136,-4.87,85,60,5.35
367,Itarema,-2.9248,-39.9167,26.47,80,46,4.5
368,Puerto Ayacucho,5.6639,-67.6236,24.3,88,100,1.13
369,Hong Kong,22.2855,114.1577,25.02,46,6,2.24
370,Sitka,57.0531,-135.33,1.94,87,75,2.06
371,Praia,14.9215,-23.5087,24.3,73,75,3.6
372,Antalaha,-14.9003,50.2788,24.72,80,81,1.59
373,Houston,29.7633,-95.3633,14.02,65,1,4.63
374,Bonavista,48.6499,-53.1147,11.18,95,100,10.92
375,Fajardo,18.3258,-65.6524,27.11,83,20,2.06
376,São João da Barra,-21.6403,-41.0511,19.71,67,98,2.56
377,Barão de Melgaço,-16.1944,-55.9675,25.29,94,55,1.62
378,Havøysund,70.9963,24.6622,-0.51,85,100,7.24
379,Beausejour,50.0622,-96.5167,-3.45,98,100,1.57
380,Nara,34.6851,135.8049,18.31,38,93,2.66
381,Beloha,-25.1667,45.05,24.21,76,11,3.98
382,Namatanai,-3.6667,152.4333,29.32,69,91,4.0
383,Banda Aceh,5.5577,95.3222,28.88,69,100,5.38
384,San Patricio,28.017,-97.5169,19.34,52,1,3.22
385,Xinmin,41.9908,122.8253,6.14,51,5,3.21
386,Camacha,33.0833,-16.3333,17.68,72,20,3.6
387,Forestville,38.8451,-76.875,5.05,67,1,2.06
388,Dingle,10.9995,122.6711,30.07,72,96,4.49
389,Redmond,47.674,-122.1215,11.04,90,100,0.45
390,Aksarka,66.5606,67.7975,-18.74,94,76,1.6
391,Sarangani,5.4033,125.4636,28.52,73,99,2.34
392,Trelew,-43.249,-65.3051,17.25,42,100,10.87
393,Goderich,43.7501,-81.7165,6.06,65,100,8.75
394,Turbat,26.0023,63.044,24.76,16,0,6.59
395,Kidal,18.4411,1.4078,24.62,13,99,3.9
396,Geraldton,-28.7667,114.6,23.23,64,1,7.72
397,Quelimane,-17.8786,36.8883,26.81,82,45,2.6
398,Belaya Gora,68.5333,146.4167,-19.11,99,98,0.11
399,Cabo San Lucas,22.8909,-109.9124,25.28,73,36,2.03
400,Kudahuvadhoo,2.6708,72.8944,28.49,73,98,8.27
401,Luján,-34.5703,-59.105,18.32,95,100,0.89
402,Bagotville,-28.9833,153.4167,27.01,33,0,5.14
403,Baturaja,-4.1333,104.1667,27.06,81,91,0.69
404,La Palma,33.8464,-118.0467,27.02,45,1,0.0
405,Kiunga,-6.1219,141.2906,33.01,54,100,0.84
406,Saint-Philippe,-21.3585,55.7679,27.75,80,100,7.35
407,Haines Junction,60.7522,-137.5108,-8.03,79,85,0.51
408,Kitimat,54.0524,-128.6534,5.21,29,100,1.38
409,Cabedelo,-6.9811,-34.8339,25.37,67,81,5.2
410,Ialibu,-6.2821,143.9935,18.63,90,100,1.38
411,Klaksvík,62.2266,-6.589,9.51,96,100,14.56
412,Cairns,-16.9167,145.7667,32.28,51,58,6.17
413,Sangar,63.9242,127.4739,-28.52,97,73,1.26
414,Melo,-32.3667,-54.1833,14.63,86,12,5.37
415,Makakilo City,21.3469,-158.0858,25.18,64,20,2.57
416,Agadez,19.75,10.25,21.85,18,75,1.79
417,Naze,28.3667,129.4833,19.51,69,100,6.63
418,Farmington,36.7281,-108.2187,9.38,52,1,2.06
419,Vega Baja,18.4444,-66.3877,27.13,96,49,3.01
420,Yar-Sale,66.8333,70.8333,-16.75,96,80,2.7
421,Laas,46.6166,10.7002,5.7,99,100,1.09
422,Poronaysk,49.2167,143.1167,5.76,56,88,4.22
423,Bereda,43.2686,-7.5406,4.76,100,64,1.07
424,Los Llanos de Aridane,28.6585,-17.9182,16.86,59,0,4.12
425,Aasiaat,68.7098,-52.8699,-21.81,99,91,3.78
426,Chimoio,-19.1164,33.4833,21.03,85,40,0.16
427,Denpasar,-8.65,115.2167,28.81,74,40,3.09
428,Rapid Valley,44.0625,-103.1463,6.32,52,1,3.13
429,Tual,-5.6667,132.75,28.4,76,100,2.84
430,Ladário,-19.0047,-57.6017,24.2,85,98,1.2
431,Coyhaique,-45.5752,-72.0662,8.97,66,90,3.09
432,Bollnäs,61.3482,16.3946,0.77,92,23,1.7
433,Mīzan Teferī,6.9833,35.5833,16.95,88,76,1.45
434,Coolum Beach,-26.5333,153.1,28.52,46,0,2.94
435,Ust-Maya,60.4167,134.5333,-16.68,89,100,3.12
436,Lázaro Cárdenas,17.9583,-102.2,24.43,84,0,2.2
437,Bemidji,47.4736,-94.8803,-1.84,95,90,3.6
438,Bridlington,54.0831,-0.1919,11.1,95,99,4.9
439,Isiro,2.7739,27.616,17.36,99,76,0.44
440,Souillac,-20.5167,57.5167,27.21,69,40,5.66
441,Saurimo,-9.6608,20.3916,17.82,97,100,0.99
442,Shubarkuduk,49.1447,56.4872,-2.83,82,99,7.13
443,Lagdo,9.05,13.7333,23.75,34,52,0.69
444,Praia da Vitória,38.7333,-27.0667,16.14,94,75,8.52
445,Dunmore Town,25.5,-76.65,26.51,71,100,2.94
